0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,10-p utility,10-p reliability
10,10,6,6,1,2,3,2,1,4,1,3,5,3,3,2,3,0,6,5,2,4,1,1,5,4,2,2,2,2,5,0,0,2,4,2,0,3,5,2,5,0,9,2,3,3,9,2,10,10,10,10,10,10,10,10,10,10,9,10,8,10,10,9,9,10,9,10,10,8,10,10,10,10,10,10,9,9,9,9,10,10,10,7,9,7,8,10,10,7,10,10,6,10,10,7,9,7,9,0.6401473467995086,0.5030303030303033
10,9,9,3,6,2,6,2,3,7,6,10,10,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,9,9,10,10,10,8,10,10,9,10,10,9,8,8,10,7,9,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.1495459410177595,0.1202020202020202
10,10,6,7,1,2,4,3,2,4,1,3,5,0,0,2,3,0,7,2,2,4,2,1,5,4,1,2,1,2,5,1,2,4,2,6,0,5,10,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,9,10,10,10,10,8,10,10,10,10,10,10,8,9,9,9,9,10,9,8,9,7,7,10,10,7,10,9,9,10,10,8,9,7,10,0.7108415144017414,0.42222222222222244
10,10,6,7,1,2,2,3,2,4,1,2,5,3,3,1,0,5,6,2,1,5,2,1,1,4,1,3,2,2,5,1,1,5,3,4,0,3,0,2,4,2,1,2,2,4,6,0,4,1,5,1,1,2,2,4,7,0,1,1,5,2,5,2,0,2,6,1,2,2,1,5,9,2,5,10,8,7,9,8,10,9,10,7,9,7,7,9,10,6,8,10,7,10,8,7,9,7,10,0.4805814599676504,0.7848484848484838
10,10,6,7,1,2,3,3,1,4,1,5,5,0,3,2,3,0,6,2,1,4,1,1,5,6,2,2,1,4,5,1,2,7,5,4,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,9,10,9,10,10,8,10,10,10,10,10,10,8,8,9,9,10,10,9,8,8,7,7,10,10,7,10,9,7,10,10,8,9,6,10,0.7536138103729442,0.381818181818182
10,9,9,4,2,2,2,2,3,0,3,2,5,5,1,5,4,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,9,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,9,9,9,10,10,10,9,10,10,9,10,10,9,9,8,10,8,9,10,8,7,8,7,7,9,10,10,10,9,7,9,10,7,8,9,10,1.001365987063382,0.20101010101010106
10,9,9,3,0,2,6,3,2,7,7,10,10,7,10,10,10,9,10,10,10,10,10,7,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,8,10,9,10,10,10,8,10,9,10,10,10,10,8,8,10,7,10,10,7,7,7,7,7,9,10,10,10,7,7,9,10,7,7,9,9,1.1273226094909705,0.13030303030303028
10,9,8,4,2,2,4,3,2,4,2,2,5,2,1,5,1,1,7,5,5,10,5,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,10,10,9,10,10,10,8,10,10,9,10,10,9,9,8,10,8,9,10,7,7,7,7,7,9,10,10,10,9,7,9,10,7,9,10,10,0.9362698253356878,0.2414141414141415
10,10,6,7,1,2,4,3,2,3,1,2,5,0,2,3,3,0,7,2,2,5,1,1,4,4,2,2,1,5,5,0,2,1,5,2,1,0,5,5,3,4,10,2,4,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,9,10,10,8,10,10,10,10,10,10,8,8,9,10,10,10,9,7,9,7,8,10,10,7,10,9,9,10,10,8,9,6,10,0.6651638615010216,0.472727272727273
10,10,7,7,1,2,2,3,2,4,1,2,5,3,3,0,3,1,6,2,1,4,2,1,4,4,3,2,2,2,5,0,1,3,4,5,1,5,1,2,2,0,7,0,2,2,6,1,3,2,1,9,5,5,5,6,10,10,9,10,9,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10,8,8,9,9,9,10,9,7,9,7,7,9,10,8,10,10,8,10,9,8,9,6,9,0.5872277729404803,0.5717171717171717
