0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,avg utility,avg reliability
10,10,9,5,2,3,4,2,6,4,4,6,1,5,6,5,2,5,4,5,2,4,6,3,4,4,5,5,4,5,1,6,2,5,4,5,5,3,6,2,7,5,0,6,0,4,5,5,1,6,5,6,5,4,2,4,4,4,4,5,4,2,5,5,6,6,7,5,1,3,2,7,6,2,6,6,4,8,7,6,5,4,1,7,6,7,2,10,7,6,9,10,10,10,8,10,10,10,10,0.8519933859914304,0.7648484848484836
10,10,6,4,2,3,3,1,2,1,4,6,1,4,0,2,2,5,3,3,4,4,0,2,4,4,2,5,2,6,1,7,2,5,3,5,2,3,6,2,2,5,1,6,2,3,1,7,1,2,4,5,6,0,5,5,7,1,3,2,1,2,5,3,6,7,1,5,3,4,1,0,7,3,2,6,2,6,6,0,2,4,1,6,6,7,2,7,1,6,4,6,9,5,7,9,10,7,9,0.6633703095108988,0.8921212121212106
10,10,10,6,5,3,6,4,5,5,5,6,6,5,6,4,6,5,7,9,3,5,9,4,4,7,6,5,7,5,6,6,6,5,6,6,6,3,8,5,7,6,4,7,7,5,6,5,6,6,6,6,5,4,9,3,7,7,7,5,5,5,5,7,5,10,7,5,2,4,8,8,6,4,9,6,4,7,7,7,5,6,6,6,6,9,5,9,9,8,9,10,9,10,9,10,10,10,10,1.0934835478758633,0.5341414141414134
10,10,10,7,5,2,9,3,5,5,5,5,6,5,9,4,6,5,6,9,3,6,9,5,5,6,5,5,7,6,6,6,6,5,7,5,7,4,7,5,7,6,4,7,7,5,6,4,6,6,6,6,5,5,9,3,7,7,7,5,6,5,5,4,5,8,6,5,5,4,9,7,4,5,9,6,10,1,8,6,6,6,4,6,9,9,5,10,9,9,10,10,10,10,10,10,10,10,10,1.1127844290929996,0.5161616161616154
10,10,5,4,3,4,4,2,5,3,3,6,2,3,7,2,2,4,4,6,2,4,6,3,7,4,3,5,2,5,1,6,2,2,5,5,4,3,6,2,6,5,1,6,6,2,5,5,1,4,5,6,5,2,3,3,7,3,4,2,7,2,5,3,5,0,9,5,1,5,3,4,5,0,7,6,3,6,7,1,5,2,1,7,6,7,4,7,1,6,5,6,9,5,8,10,10,10,10,0.7817643494731981,0.823434343434342
10,10,10,8,5,2,8,4,10,5,5,5,6,5,9,4,6,5,6,9,3,5,9,4,6,6,5,5,7,6,6,6,6,5,5,5,7,4,7,5,6,6,4,7,7,5,5,5,6,6,7,6,10,4,9,0,7,7,7,5,5,9,5,5,5,8,6,5,5,2,9,7,7,6,9,6,10,4,8,6,10,6,10,6,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,1.151958691934973,0.47393939393939327
10,9,10,6,2,2,5,3,6,3,4,6,1,5,6,2,6,4,4,6,1,4,6,3,7,5,5,5,2,5,1,7,5,4,2,5,5,2,7,2,5,5,3,7,6,4,5,5,3,6,5,6,4,7,5,5,7,4,7,4,6,5,5,5,5,7,7,5,7,3,7,7,7,2,9,6,5,7,4,7,5,4,6,6,6,6,10,6,9,6,6,10,9,10,9,10,10,10,10,0.92061463221844,0.6901010101010092
10,10,6,4,2,3,3,1,2,2,4,6,2,2,0,1,2,5,0,3,4,4,1,1,4,3,2,5,3,1,1,4,2,2,2,5,3,3,1,2,2,6,1,5,1,3,1,6,1,3,3,4,6,3,2,3,4,5,3,2,4,0,5,3,5,3,1,5,3,5,1,7,6,3,0,5,3,7,7,1,2,3,1,5,6,6,2,7,1,6,4,6,9,5,7,10,10,7,9,0.6141931662810567,0.9206060606060589
10,10,10,8,5,2,9,3,10,5,5,5,6,5,9,4,6,5,6,9,3,5,9,5,5,6,6,5,7,5,6,6,6,5,6,5,7,5,7,5,7,6,4,7,7,5,6,5,6,6,6,6,5,4,9,2,7,7,7,6,6,6,5,4,5,6,6,5,5,3,8,6,7,6,9,6,6,5,7,6,5,5,9,6,6,6,5,9,6,9,10,10,10,10,10,10,10,10,9,1.123741095200034,0.5036363636363628
10,10,10,5,5,2,6,3,6,5,4,6,1,5,6,3,5,5,4,9,2,6,6,4,5,7,5,5,7,6,6,7,5,5,5,6,5,5,7,2,7,7,4,7,7,5,5,5,6,6,6,6,5,4,8,3,7,7,7,5,5,5,5,4,5,9,6,5,5,2,7,8,5,5,9,6,4,6,7,6,5,5,6,6,6,5,5,6,9,7,8,10,9,10,9,10,10,10,10,1.022818520594667,0.5955555555555547
10,10,10,6,2,3,4,2,6,3,4,6,1,5,6,2,6,4,4,6,2,4,6,3,4,4,5,5,2,5,1,6,5,2,5,5,5,3,6,2,5,4,0,6,5,4,5,5,2,6,5,5,4,2,5,5,7,4,4,4,5,2,5,2,5,7,6,5,5,3,3,4,6,0,9,6,6,8,7,6,5,5,5,6,5,6,3,9,6,7,6,10,9,10,8,10,10,10,10,0.8641999339140074,0.752323232323231
10,10,10,9,5,2,9,2,6,5,5,9,6,5,9,4,6,5,5,10,3,6,9,3,5,7,6,5,7,5,6,6,6,4,5,6,7,4,7,5,7,6,4,8,7,5,6,5,6,6,7,6,5,4,9,3,6,7,7,5,4,6,5,7,5,10,7,5,5,3,8,8,2,5,9,6,5,6,7,6,9,9,9,6,6,9,5,9,10,8,9,10,9,10,10,10,10,10,10,1.134857861335184,0.4939393939393933
10,10,6,0,2,3,0,0,2,1,3,6,2,1,0,5,2,2,0,3,3,4,1,1,4,4,2,5,0,0,1,3,2,2,3,2,4,3,1,2,0,6,1,6,0,2,1,6,1,1,3,3,6,1,2,2,0,2,7,2,3,0,4,0,6,1,2,1,3,5,1,4,4,3,1,4,2,6,6,1,2,0,0,2,6,7,2,4,1,5,3,6,6,5,7,9,10,7,8,0.5156827257895831,0.9701010101010084
